trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover
2020-01-02,11.94,12.7,12.78,11.94,113010310,1414525488.0,7.04,6.37,0.76,2.23
2020-01-03,12.84,12.64,13.04,12.5,63114482,804219344.0,4.25,-0.47,-0.06,1.25
2020-01-06,12.6,13.04,13.3,12.54,101621920,1324644160.0,6.01,3.16,0.4,2.01
2020-01-07,13.04,12.6,13.08,12.44,70943866,901128752.0,4.91,-3.37,-0.44,1.4
2020-01-08,12.42,12.72,12.96,12.4,48493079,619148288.0,4.44,0.95,0.12,0.96
2020-01-09,12.9,13.0,13.08,12.8,26803698,347183184.0,2.2,2.2,0.28,0.53
2020-01-10,13.02,12.96,13.2,12.88,26619988,346307648.0,2.46,-0.31,-0.04,0.53
2020-01-13,13.04,13.68,13.76,13.0,92222843,1249751024.0,5.86,5.56,0.72,1.82
2020-01-14,13.94,13.64,14.3,13.64,66648225,928024640.0,4.82,-0.29,-0.04,1.32
2020-01-15,13.62,14.4,14.5,13.62,98437960,1402865360.0,6.45,5.57,0.76,1.95
2020-01-16,14.52,15.28,15.28,14.38,152181094,2267208448.0,6.25,6.11,0.88,3.01
2020-01-17,15.28,15.44,15.78,15.04,111147847,1715912048.0,4.84,1.05,0.16,2.2
2020-01-20,15.5,15.88,16.0,15.3,93728576,1482258752.0,4.53,2.85,0.44,1.85
2020-01-21,15.8,15.0,15.88,14.82,103533168,1579511184.0,6.68,-5.54,-0.88,2.05
2020-01-22,14.92,16.1,16.2,14.92,90139468,1419862944.0,8.53,7.33,1.1,1.78
2020-01-23,15.88,15.5,16.44,14.9,101355472,1584504496.0,9.57,-3.73,-0.6,2.0
2020-01-24,15.5,16.14,16.2,15.16,40225238,640280704.0,6.71,4.13,0.64,0.8
2020-01-29,15.44,15.62,16.06,15.34,65991990,1039062784.0,4.46,-3.22,-0.52,1.3
2020-01-30,15.6,14.08,15.82,13.8,116651802,1682392000.0,12.93,-9.86,-1.54,2.3
2020-01-31,14.3,14.3,14.74,14.14,72774195,1048506688.0,4.26,1.56,0.22,1.44
2020-02-03,14.02,14.72,15.1,13.6,153127293,2228577744.0,10.49,2.94,0.42,3.02
2020-02-04,15.04,15.48,15.64,15.0,92149347,1414140528.0,4.35,5.16,0.76,1.82
2020-02-05,15.64,16.8,16.82,15.46,178999553,2915201536.0,8.79,8.53,1.32,3.53
2020-02-06,16.98,17.18,17.52,16.52,140236003,2405114480.0,5.95,2.26,0.38,2.77
2020-02-07,17.04,17.36,17.62,16.7,88931534,1528788656.0,5.36,1.05,0.18,1.74
2020-02-10,17.16,16.76,17.8,16.7,103149920,1771624448.0,6.34,-3.46,-0.6,2.02
2020-02-11,16.98,16.46,17.1,16.36,87390375,1455536528.0,4.42,-1.79,-0.3,1.71
2020-02-12,16.5,16.22,16.56,15.92,142179433,2296180448.0,3.89,-1.46,-0.24,2.79
2020-02-13,16.38,17.28,17.64,16.38,144538776,2481579744.0,7.77,6.54,1.06,2.84
2020-02-14,17.82,16.26,17.92,16.02,254709378,4229340112.0,11.0,-5.9,-1.02,5.0
2020-02-17,16.0,16.14,17.04,15.8,169436307,2772003568.0,7.63,-0.74,-0.12,3.32
2020-02-18,16.26,15.18,16.26,14.4,266335797,4050157520.0,11.52,-5.95,-0.96,5.22
2020-02-19,15.5,15.72,15.86,15.28,115414443,1806092208.0,3.82,3.56,0.54,2.26
2020-02-20,15.72,15.74,16.06,15.32,91943589,1442862096.0,4.71,0.13,0.02,1.8
2020-02-21,15.56,15.22,16.04,15.22,95972180,1491493072.0,5.21,-3.3,-0.52,1.88
2020-02-24,15.2,15.5,15.78,14.96,108167824,1668760016.0,5.39,1.84,0.28,2.12
2020-02-25,15.4,16.62,16.66,15.26,187508302,3035950000.0,9.03,7.23,1.12,3.67
2020-02-26,16.4,16.02,16.96,15.86,158749828,2611616816.0,6.62,-3.61,-0.6,3.11
